"especie";"categoria";"referencia"
"Charinus acaraje";"VU";"Portaria MMA 148 de Julho de 2022"
"Enyalius erythroceneus";"CR";"Portaria MMA 148 de Julho de 2022"
"Liolaemus arambarensis";"EN";"Portaria MMA 148 de Julho de 2022"
"Liolaemus lutzae";"CR";"Portaria MMA 148 de Julho de 2022"
"Liolaemus occipitalis";"VU";"Portaria MMA 148 de Julho de 2022"
"Brasiliscincus caissara";"EN";"Portaria MMA 148 de Julho de 2022"
"Homonota uruguayensis";"VU";"Portaria MMA 148 de Julho de 2022"
"Coleodactylus natalensis";"EN";"Portaria MMA 148 de Julho de 2022"
"Gonatodes tapajonicus";"EN";"Portaria MMA 148 de Julho de 2022"
"Ameiva parecis";"EN";"Portaria MMA 148 de Julho de 2022"
"Ameivula nativo";"EN";"Portaria MMA 148 de Julho de 2022"
"Contomastix vacariensis";"VU";"Portaria MMA 148 de Julho de 2022"
"Glaucomastix abaetensis";"EN";"Portaria MMA 148 de Julho de 2022"
"Glaucomastix littoralis";"EN";"Portaria MMA 148 de Julho de 2022"
"Kentropyx vanzoi";"VU";"Portaria MMA 148 de Julho de 2022"
"Tropidophis grapiuna";"VU";"Portaria MMA 148 de Julho de 2022"
"Eurolophosaurus amathites";"EN";"Portaria MMA 148 de Julho de 2022"
"Caretta caretta";"VU";"Portaria MMA 148 de Julho de 2022"
"Eretmochelys imbricata";"EN";"Portaria MMA 148 de Julho de 2022"
"Lepidochelys olivacea";"VU";"Portaria MMA 148 de Julho de 2022"
"Dermochelys coriacea";"CR";"Portaria MMA 148 de Julho de 2022"
"Amadonastur lacernulatus";"VU";"Portaria MMA 148 de Julho de 2022"
"Circus cinereus";"VU";"Portaria MMA 148 de Julho de 2022"
"Harpia harpyja";"VU";"Portaria MMA 148 de Julho de 2022"
"Leptodon forbesi";"EN";"Portaria MMA 148 de Julho de 2022"
"Morphnus guianensis";"VU";"Portaria MMA 148 de Julho de 2022"
"Urubitinga coronata";"EN";"Portaria MMA 148 de Julho de 2022"
"Mergus octosetaceus";"CR";"Portaria MMA 148 de Julho de 2022"
"Augastes lumachella";"EN";"Portaria MMA 148 de Julho de 2022"
"Campylopterus calcirupicola";"EN";"Portaria MMA 148 de Julho de 2022"
"Colibri delphinae greenewalti";"EN";"Portaria MMA 148 de Julho de 2022"
"Discosura langsdorffi langsdorffi";"EN";"Portaria MMA 148 de Julho de 2022"
"Glaucis dohrnii";"VU";"Portaria MMA 148 de Julho de 2022"
"Lophornis gouldii";"VU";"Portaria MMA 148 de Julho de 2022"
"Phaethornis aethopygus";"VU";"Portaria MMA 148 de Julho de 2022"
"Phaethornis major";"VU";"Portaria MMA 148 de Julho de 2022"
"Phaethornis margarettae";"EN";"Portaria MMA 148 de Julho de 2022"
"Thalurania watertonii";"EN";"Portaria MMA 148 de Julho de 2022"
"Hydropsalis candicans";"EN";"Portaria MMA 148 de Julho de 2022"
"Nyctiprogne vielliardi";"EN";"Portaria MMA 148 de Julho de 2022"
"Burhinus bistriatus";"VU";"Portaria MMA 148 de Julho de 2022"
"Charadrius wilsonia";"VU";"Portaria MMA 148 de Julho de 2022"
"Sterna dougallii";"VU";"Portaria MMA 148 de Julho de 2022"
"Sterna hirundinacea";"VU";"Portaria MMA 148 de Julho de 2022"
"Thalasseus acuflavidus";"VU";"Portaria MMA 148 de Julho de 2022"
"Thalasseus maximus";"EN";"Portaria MMA 148 de Julho de 2022"
"Calidris canutus";"VU";"Portaria MMA 148 de Julho de 2022"
"Calidris pusilla";"EN";"Portaria MMA 148 de Julho de 2022"
"Calidris subruficollis";"VU";"Portaria MMA 148 de Julho de 2022"
